,sentences,WS
3620,乾了吧千杯，黨又要喝紅酒開趴了蔡政府剩下的垃圾時間能安黨國不分，總統府發言人是爛政府,"['乾', '了', '吧', '千', '杯', '，', '黨', '又', '要', '喝', '紅酒', '開趴', '了', '蔡', '政府', '剩下', '的', '垃圾', '時間', '能', '安', '黨', '國', '不', '分', '，', '總統府', '發言人', '是', '爛', '政府']"
3621,"反正不是全部推給打壓就好了蘇貞昌要不要解釋一下20傻子外交靠北啊，這次日本辦的還在日本拿了錢去接受中國打壓拿蘇貞昌自己的錢去亂開就台日友好+中共包圍網=日不能有台灣圖像文字,連福反正中華台北","['反正', '不是', '全部', '推給', '打壓', '就', '好', '了', '蘇貞昌', '要不要', '解釋', '一下', '20', '傻子', '外交', '靠', '北', '啊', '，', '這', '次', '日本', '辦', '的', '還', '在', '日本', '拿', '了', '錢', '去', '接受', '中國', '打壓', '拿', '蘇貞昌', '自己', '的', '錢', '去', '亂開', '就', '台', '日', '友好', '+', '中共', '包圍網', '=', '日', '不能', '有', '台灣', '圖像', '文字', ',', '連福', '反正', '中華', '台北']"
3622,台灣只能投藍其實新竹也不低,"['台灣', '只', '能', '投藍', '其實', '新竹', '也', '不', '低']"
3623,冷處理(你怎麼不早說呢3+11的不可以信任再提論文是為農農敗票嗎？雙標女權仔尊重學術界的意見是表示不你也是戰犯啦,"['冷處理', '(', '你', '怎麼', '不', '早', '說', '呢', '3+11', '的', '不可以', '信任', '再', '提', '論文', '是', '為', '農農', '敗票', '嗎', '？', '雙標', '女權仔', '尊重', '學術界', '的', '意見', '是', '表示', '不', '你', '也', '是', '戰犯', '啦']"
3624,那時代就是那個時候看色情文學比較不就等啊你有玩過mud嗎古撥接時代沒什圖片多是靜態那時也沒啥高畫質圖片吧,"['那', '時代', '就是', '那', '個', '時候', '看', '色情', '文學', '比較', '不', '就', '等', '啊', '你', '有', '玩', '過', 'mud', '嗎', '古', '撥接', '時代', '沒', '什', '圖片', '多', '是', '靜態', '那時', '也', '沒', '啥', '高畫質', '圖片', '吧']"
3625,罵拜登失後面還直接講「房東選上了你也是推手一堆非綠即藍,"['罵拜登失', '後面', '還', '直接', '講', '「', '房東', '選上', '了', '你', '也', '是', '推手', '一', '堆', '非', '綠', '即', '藍']"
3626,母豬母豬嗚咕嗚咕ブヒブヒ韭韭,"['母豬', '母豬', '嗚', '咕', '嗚咕', 'ブ', 'ヒ', 'ブ', 'ヒ', '韭韭']"
3627,痛苦的相思,"['痛苦', '的', '相思']"
3628,除了塔綠班以外的貪你有三百萬的不法所得證據好笑，多讀點書吧舉的例子失敗,"['除了', '塔綠班', '以外', '的', '貪', '你', '有', '三百萬', '的', '不法', '所得', '證據', '好笑', '，', '多', '讀', '點', '書', '吧', '舉', '的', '例子', '失敗']"
3629,小英上場沒棄蔣保黃傻瓜民調,"['小英', '上場', '沒', '棄', '蔣保黃', '傻瓜', '民調']"
3630,你看共產主義到現看塔綠班怎麼選上的不就知所以你看中國人多不聰明道抗日啊,"['你', '看', '共產主義', '到', '現', '看', '塔綠班', '怎麼', '選上', '的', '不', '就', '知', '所以', '你', '看', '中國人', '多', '不', '聰明', '道', '抗日', '啊']"
3631,這種東西還要有民眾運動，怎麼可能不雙標=,"['這', '種', '東西', '還要', '有', '民眾', '運動', '，', '怎麼', '可能', '不', '雙標', '=']"
3632,變相賠錢說感謝日本侵掠不忘建設的你是不是美國隊長剛從冰塊跟美國吃香喝辣，但經濟也日本是東南亞殖民的解放者當了世界警察的小弟之後中國人也不知道新疆集中營集中營在波蘭中國人知道新疆集中營嗎?就解決口風不緊的啊,"['變相', '賠錢', '說', '感謝', '日本', '侵掠', '不忘', '建設', '的', '你', '是', '不是', '美國', '隊長', '剛', '從', '冰塊', '跟', '美國', '吃香', '喝', '辣', '，', '但', '經濟', '也', '日本', '是', '東南亞', '殖民', '的', '解放', '者', '當', '了', '世界', '警察', '的', '小弟', '之後', '中國人', '也', '不知道', '新疆', '集中營', '集中營', '在', '波蘭', '中國人', '知道', '新疆', '集中營', '嗎', '?', '就', '解決', '口風', '不', '緊', '的', '啊']"
3633,敢這樣倒垃圾也是勇清潔隊真倒楣，這干清潔隊大小姐,"['敢', '這樣', '倒', '垃圾', '也', '是', '勇', '清潔隊', '真', '倒楣', '，', '這', '干', '清潔隊', '大小姐']"
3634,怡農，一定吳宜農不是趙介右的人嗎？濃濃跟勝文,"['怡農', '，', '一定', '吳宜農', '不是', '趙介右', '的', '人', '嗎', '？', '濃濃', '跟', '勝', '文']"
3635,秉樞都比濃是有喝多少嗎？陳文茜好像有說過他是空的柯文哲口才差？跟這個廢才說柯口才差的一定沒去爬過推薦去看農農影片xD說柯口才差?柯P是在醫學韓是被黑，膿是自爆，差太跟韓導有比，差在一個是未真有意思就趁早結婚還是阿貝依書口礙啦cc社會亂象一堆，結果總統在感覺很香你有這癖好,"['秉樞', '都', '比', '濃', '是', '有', '喝', '多少', '嗎', '？', '陳文茜', '好像', '有', '說', '過', '他', '是', '空', '的', '柯文哲', '口才', '差', '？', '跟', '這', '個', '廢', '才', '說', '柯', '口才', '差', '的', '一定', '沒', '去', '爬過', '推薦', '去', '看', '農農', '影片', 'xD', '說', '柯口才差', '?', '柯P', '是', '在', '醫學', '韓', '是', '被', '黑', '，', '膿', '是', '自爆', '，', '差', '太', '跟', '韓導', '有比', '，', '差', '在', '一', '個', '是', '未', '真', '有意思', '就', '趁早', '結婚', '還是', '阿貝依書', '口礙', '啦', 'cc', '社會', '亂象', '一', '堆', '，', '結果', '總統', '在', '感覺', '很', '香', '你', '有', '這', '癖好']"
3636,新頭殼都切割了捏好了啦,"['新', '頭殼', '都', '切割', '了', '捏好', '了', '啦']"
3637,時皮菸狼粉怕黃監督???黃都不活動還偷臭民眾黨喔最多槍的那啥小，有權力的人的問題，民眾黨格調爛到不行,"['時', '皮菸', '狼粉', '怕', '黃', '監督', '?', '?', '?', '黃', '都', '不', '活動', '還', '偷臭', '民眾黨', '喔', '最多', '槍', '的', '那', '啥', '小', '，', '有', '權力', '的', '人', '的', '問題', '，', '民眾', '黨格', '調爛', '到', '不行']"
3638,真神政局不穩是有人要兵變還是騙神的,"['真神', '政局', '不', '穩', '是', '有', '人', '要', '兵變', '還是', '騙神', '的']"
3639,沒本事,"['沒', '本事']"
3640,鬼遮眼喔東堂勇,"['鬼', '遮眼', '喔', '東堂', '勇']"
3641,下去老人臉皮真的厚想留的趕不走你們這些愚民，在那邊大聲台灣民主真是讚在那邊不要臉什麼,"['下去', '老人', '臉皮', '真的', '厚', '想', '留', '的', '趕', '不', '走', '你們', '這些', '愚民', '，', '在', '那邊', '大聲', '台灣', '民主', '真是', '讚', '在', '那邊', '不要臉', '什麼']"
3642,死忠院長回頭是岸,"['死忠', '院長', '回頭', '是', '岸']"
3643,他已經吸讚喔，想看戲好啊好啊好！,"['他', '已經', '吸讚', '喔', '，', '想', '看戲', '好', '啊', '好', '啊', '好', '！']"
3644,簡舒培,['簡舒培']
3645,感謝惠賜一票抓到了！原來是拿奶茶包！敗票王，XX,"['感謝', '惠賜', '一', '票', '抓到', '了', '！', '原來', '是', '拿', '奶茶包', '！', '敗票王', '，', 'XX']"
3646,以前北宜根達爾文很努力在做事啊..不用治啦，該投胎就要投胎就大車學長撞山壁XD也可以說他們能開放黑熊學院打靶,"['以前', '北宜', '根達爾文', '很', '努力', '在', '做', '事', '啊', '.', '.', '不用', '治', '啦', '，', '該', '投胎', '就', '要', '投胎', '就', '大車', '學長', '撞', '山壁', 'XD', '也', '可以', '說', '他們', '能', '開放', '黑熊', '學院', '打靶']"
3647,看一下黨主席是得罪黨小心被抓回去關臺灣史上戰力天花板,"['看', '一下', '黨主席', '是', '得罪黨', '小心', '被', '抓回去', '關', '臺灣史', '上', '戰力', '天花板']"
3648,沒救自爆,"['沒', '救', '自', '爆']"
3649,2024後,"['2024', '後']"
3650,我是不太相信他該不會是農婦崩潰吧？希望怡農繼續堅持正面選舉不是喊爽,"['我是', '不', '太', '相信', '他', '該', '不會', '是', '農婦', '崩潰', '吧', '？', '希望', '怡農', '繼續', '堅持', '正面', '選舉', '不是', '喊', '爽']"
3651,感受過高清就回不去240256kb可以聽出來，3真的人會被養壞,"['感受', '過', '高清', '就', '回', '不', '去', '240256', 'kb', '可以', '聽出來', '，', '3', '真的', '人', '會', '被', '養壞']"
3652,三千兩百億叫做圖來說一下虧多少啊,"['三千兩百億', '叫做', '圖', '來', '說', '一下', '虧', '多少', '啊']"
3653,但我們還深綠馬迷：誰准你接受道歉死亡之握是側翼的成名作身深綠天天酸馬英九死亡之握方丈是很小心眼的沒有嗎？政治缺乏幽默感...推馬反觀某党是接受道歉不是不在意一堆藍白一家親反觀民進黨，直接被告妨礙蛤？有深綠藍營這種東西？好的,"['但', '我們', '還', '深綠馬迷', '：', '誰', '准', '你', '接受', '道歉', '死亡', '之', '握', '是', '側翼', '的', '成名', '作身', '深', '綠', '天天', '酸', '馬英九', '死亡', '之', '握', '方丈', '是', '很', '小心眼', '的', '沒有', '嗎', '？', '政治', '缺乏', '幽默感', '.', '.', '.', '推', '馬', '反觀', '某', '党', '是', '接受', '道歉', '不是', '不', '在意', '一', '堆', '藍白', '一', '家', '親', '反觀', '民進黨', '，', '直接', '被告', '妨礙', '蛤', '？', '有', '深', '綠', '藍營', '這', '種', '東西', '？', '好的']"
3654,衰我正式宣布,"['衰', '我', '正式', '宣布']"
3655,就算習是真心打貪，搞計劃能跟我們圖利廠商天經地義打擊異己反觀綠共黨不就跟綠共一樣,"['就算', '習', '是', '真心', '打貪', '，', '搞', '計劃', '能', '跟', '我們', '圖利', '廠商', '天經地義', '打擊', '異己', '反觀', '綠共黨', '不', '就', '跟', '綠共', '一樣']"
3656,幫買還傻眼幹林涼說隨便的人還在靠背你說隨便然後是在哭什麼？自己不去買是在叫啥,"['幫', '買', '還', '傻眼', '幹', '林涼', '說', '隨便', '的', '人', '還', '在', '靠', '背', '你', '說', '隨便', '然後', '是', '在', '哭', '什麼', '？', '自己', '不', '去', '買', '是', '在', '叫', '啥']"
3657,維尼都跟你白痴,"['維尼', '都', '跟', '你', '白痴']"
3658,改閣啦挖空,"['改閣', '啦', '挖空']"
3659,請靠自己不要靠政府好嗎現在年輕人不吃不喝85年炒房很方便的，操弄統獨，不認為年輕人有7年級生痛民進黨房價上漲比國民黨還青年犯罪率那麼高,"['請', '靠', '自己', '不要', '靠', '政府', '好', '嗎', '現在', '年輕人', '不', '吃', '不', '喝', '85', '年', '炒房', '很', '方便', '的', '，', '操弄', '統獨', '，', '不', '認為', '年輕人', '有', '7年級', '生痛', '民進黨', '房價', '上漲', '比', '國民黨', '還', '青年', '犯罪率', '那麼', '高']"
3660,讚了解，不想投你知道囉,"['讚', '了', '解', '，', '不', '想', '投', '你', '知道', '囉']"
3661,啊他台北市長在88招待所發文嗎R.I.P死隻熊貓幸災樂禍的傢伙真趕快做成肉乾，不要浪費了麻醉照完腦之後，不特意喚連這都能蹭,"['啊', '他', '台北市長', '在', '88', '招待所', '發文', '嗎', 'R', '.I', '.P', '死隻', '熊貓', '幸災樂禍', '的', '傢伙', '真', '趕快', '做成', '肉乾', '，', '不要', '浪費', '了', '麻醉', '照完', '腦', '之後', '，', '不', '特意', '喚連', '這', '都', '能', '蹭']"
3662,高有點東西無聊,"['高', '有點', '東西', '無聊']"
3663,文組凸(,"['文組', '凸', '(']"
3664,無解真的有智障看不出來差別,"['無解', '真的', '有', '智障', '看', '不', '出來', '差別']"
3665,這次只是看蔣能不能過半而6萬通簡訊,"['這', '次', '只是', '看', '蔣', '能不能', '過半', '而', '6萬', '通', '簡訊']"
3666,藏,['藏']
3667,多元宇宙科抵達戰場了嗎好了啦，投幾次難道你要投帕里斯通嗎！啊若2024賴清德順風這人所以到底是誰？台灣的司法不是獨立的Dpp沒辦法順風了啦,"['多元', '宇宙科', '抵達', '戰場', '了', '嗎', '好了', '啦', '，', '投', '幾', '次', '難道', '你', '要', '投', '帕里斯通', '嗎', '！', '啊', '若', '2024', '賴清德', '順風', '這', '人', '所以', '到底', '是', '誰', '？', '台灣', '的', '司法', '不是', '獨立', '的', 'Dpp', '沒辦法', '順風', '了', '啦']"
3668,我要看到血流成河XD要抓快抓啦,"['我', '要', '看到', '血流成河', 'XD', '要', '抓快', '抓', '啦']"
3669,最好給我用力查,"['最好', '給', '我', '用力', '查']"
3670,民進選舉就是執政，民進黨就是母豬：我只管晚餐吃什麼菜怎麼還有人不知道我們的總多元宇宙2024以後不關她，先吃自立自強啊,"['民進', '選舉', '就', '是', '執政', '，', '民進黨', '就', '是', '母豬', '：', '我', '只管', '晚餐', '吃', '什麼', '菜', '怎麼', '還', '有', '人', '不知道', '我們', '的', '總多元', '宇宙', '2024', '以後', '不關', '她', '，', '先', '吃', '自立自強', '啊']"
3671,留下來敗票這下國民黨2024又穩了可以,"['留下來', '敗票', '這下', '國民黨', '2024', '又', '穩', '了', '可以']"
3672,党還有哪些神主牌可以砸，馬囧確實比母豬有能力沒錯笑死,"['党', '還', '有', '哪些', '神主牌', '可以', '砸', '，', '馬囧', '確實', '比', '母豬', '有', '能力', '沒', '錯笑', '死']"
3673,有自己的法律啦那是一片過高屏溪的化外之要做票會只做屏東嗎,"['有', '自己', '的', '法律', '啦', '那', '是', '一', '片', '過', '高屏溪', '的', '化外', '之', '要', '做', '票', '會', '只', '做', '屏東', '嗎']"
3674,立在那叫什麼流氓騙神仔綠共立法行政全面操弄,"['立', '在', '那', '叫', '什麼', '流氓', '騙神仔', '綠共', '立法', '行政', '全面', '操弄']"
3675,先報拿茶包促進兩岸交流,"['先', '報', '拿', '茶包', '促進', '兩岸', '交流']"
3676,你以陳明文,"['你', '以', '陳明文']"
3677,"很嗯嗯,看不懂他那個是柯文哲一開始的想記者迌雓捷Wō蠷?","['很', '嗯', '嗯', ',', '看', '不', '懂', '他', '那', '個', '是', '柯文哲', '一', '開始', '的', '想', '記者', '迌雓捷', 'Wō', '蠷', '?']"
3678,綠蟑螂的邏輯,"['綠', '蟑螂', '的', '邏輯']"
3679,可以先抗黑道嗎我看懂了,"['可以', '先', '抗', '黑道', '嗎', '我', '看懂', '了']"
3680,中共同路人抓到了,"['中共', '同路人', '抓到', '了']"
3681,連基好煩的人你們是忘了今年發生什麼事那一區的,"['連', '基', '好', '煩', '的', '人', '你們', '是', '忘', '了', '今年', '發生', '什麼', '事', '那', '一', '區', '的']"
3682,給推我說那個南港....,"['給', '推', '我', '說', '那', '個', '南港', '.', '...']"
3683,會不會想退休蔣萬安會四年還不清楚市政扶龍王機構專任蔣師交給副市長就好，市長的高推逐字稿恰吉腦筋很快,"['會不會', '想', '退休', '蔣萬安', '會', '四', '年', '還', '不', '清楚', '市政', '扶龍王', '機構', '專任', '蔣師', '交給', '副市長', '就', '好', '，', '市長', '的', '高推', '逐字稿', '恰吉腦筋', '很', '快']"
3684,故意的吧蔡英文整天只會浪費國家資中職史上最強會長翻譯：不投蔡其昌,"['故意', '的', '吧', '蔡英文', '整', '天', '只', '會', '浪費', '國家', '資', '中', '職史', '上', '最', '強', '會長', '翻譯', '：', '不', '投', '蔡其昌']"
3685,支持33又是棄保風向文,"['支持', '33', '又', '是', '棄保', '風向', '文']"
3686,我爺爺幾你祖父母是可以不用回台灣他選擇回台灣不然的確可以澀谷事件查一下日本人歧視可以選喔,"['我', '爺爺', '幾', '你', '祖父母', '是', '可以', '不用', '回', '台灣', '他', '選擇', '回', '台灣', '不然', '的確', '可以', '澀谷', '事件', '查', '一下', '日本人', '歧視', '可以', '選', '喔']"
3687,有問題就關,"['有', '問題', '就', '關']"
3688,幹祝福中國人人平安健康長壽這咖必噓側翼,"['幹', '祝福', '中國', '人人', '平安', '健康', '長壽', '這', '咖', '必', '噓', '側翼']"
3689,毫無你祖先二戰跟日本同一國德國,"['毫無', '你', '祖先', '二', '戰', '跟', '日本', '同', '一', '國', '德國']"
3690,嘻嘻奇怪,"['嘻嘻', '奇怪']"
3691,你在那叭什麼在那叭什麼吊路燈名單+n台北基隆路辛亥路那邊很常在那叭什麼,"['你', '在', '那', '叭', '什麼', '在', '那', '叭', '什麼', '吊路燈', '名單', '+n', '台北', '基隆路', '辛亥路', '那邊', '很', '常', '在', '那', '叭', '什麼']"
3692,報用來篩選智障的工具貓貓很會馬的這群,"['報', '用來', '篩選', '智障', '的', '工具', '貓貓', '很', '會', '馬的', '這', '群']"
3693,失敗有打高端就給推啦，比一堆真的死了在相信有神新二劑福音戰士應該是頭暈吧高端戰士,"['失敗', '有', '打高端', '就', '給', '推', '啦', '，', '比', '一', '堆', '真的', '死', '了', '在', '相信', '有', '神', '新二劑', '福音', '戰士', '應該', '是', '頭暈', '吧', '高端', '戰士']"
3694,才剛地震看看台灣能源政策,"['才', '剛', '地震', '看看', '台灣', '能源', '政策']"
3695,就不知道下次別人沒義務幫啊，情緒勒索民進黨：........問一下烏克蘭，同病相憐一閃兵死忠仔不懂啦關心但不介入林閃兵：歡迎來到真實世界正常阿,"['就', '不知道', '下', '次', '別人', '沒', '義務', '幫', '啊', '，', '情緒', '勒索', '民進黨', '：', '.', '.', '.', '.', '.', '.', '.', '.', '問', '一下', '烏克蘭', '，', '同病相憐', '一', '閃兵', '死忠仔', '不', '懂', '啦', '關心', '但', '不', '介入', '林閃兵', '：', '歡迎', '來到', '真實', '世界', '正常', '阿']"
3696,反觀某1.5在怎樣藍綠,"['反觀', '某', '1.5', '在', '怎樣', '藍綠']"
3697,民進黨黨主大陸鵬快跟上辭職這次帶職參選的就民進黨的民進黨支持者繼續裝聾作啞綠能嘛,"['民進黨', '黨主', '大陸鵬快', '跟上', '辭職', '這', '次', '帶職', '參選', '的', '就', '民進黨', '的', '民進黨', '支持', '者', '繼續', '裝聾作啞', '綠能', '嘛']"
3698,讚！你政府不就是炒房幫兇嗎？菜EE房地多少,"['讚', '！', '你', '政府', '不', '就', '是', '炒房', '幫兇', '嗎', '？', '菜EE', '房地', '多少']"
3699,三戰爆發,"['三', '戰', '爆發']"
3700,"會發才反正民眾黨側翼爛成那樣,到底是在臭還是在捧啦XD我懷疑在臭發大財那位館長選前一樣歸隊館長又要挺kmt了嗎畢竟是教授..今天晚上好像是33?綠共：哼","['會', '發', '才', '反正', '民眾黨', '側翼', '爛成', '那樣', ',', '到底', '是', '在', '臭', '還是', '在', '捧', '啦XD', '我', '懷疑', '在', '臭發', '大財', '那', '位', '館長', '選', '前', '一樣', '歸隊', '館長', '又', '要', '挺', 'kmt', '了', '嗎', '畢竟', '是', '教授', '.', '.', '今天', '晚上', '好像', '是', '33', '?', '綠共', '：', '哼']"
3701,畫面太美看台大法律的總統就知道這結論：政黨輪替是必要的苗他當然堅持,"['畫面', '太', '美', '看', '台大', '法律', '的', '總統', '就', '知道', '這', '結論', '：', '政黨', '輪替', '是', '必要', '的', '苗', '他', '當然', '堅持']"
3702,就繼續看宦崩了一個星期不工作整天洗爽,"['就', '繼續', '看', '宦崩', '了', '一', '個', '星期', '不', '工作', '整', '天', '洗爽']"
3703,竟然輸給60數十萬>>>>>>>>112e跟16e呢。我比較跟回扣有87%像國家可以這樣弄民選剛當選先不上車,"['竟然', '輸給', '60', '數十萬', '>>>>>>>>112e', '跟', '16', 'e', '呢', '。', '我', '比較', '跟', '回扣', '有', '87%', '像', '國家', '可以', '這樣', '弄', '民選', '剛', '當選', '先', '不', '上車']"
3704,搞甚麼明星被一堆垃圾綠間諜害死,"['搞', '甚麼', '明星', '被', '一', '堆', '垃圾綠', '間諜', '害死']"
3705,會有報應小心鶴明又林鶴明又要來加分了阿中又贏不了笑死,"['會', '有', '報應', '小心', '鶴明', '又', '林鶴明', '又', '要', '來', '加分', '了', '阿中', '又', '贏不了', '笑死']"
3706,加上黃國昌時代早就不行了,"['加上', '黃國昌', '時代', '早', '就', '不行', '了']"
3707,"我可以不用拚,先去屎87政黨哈哈哈哈哈","['我', '可以', '不用', '拚', ',', '先', '去', '屎', '87', '政黨', '哈哈', '哈', '哈', '哈']"
3708,繼續崩潰講的好像藍白一家親大仁哥要是能顧全大局也是新竹到底哪裡做的好居然滿中央出的錢，地方不能審，感覺是林陣營內有內鬥導致北藍教TMD本來就是藍軍國民黨在新竹還要靠外人真這大家都知道的事不用說出下架塔綠班為重,"['繼續', '崩潰', '講', '的', '好像', '藍白', '一', '家', '親', '大仁哥', '要是', '能', '顧全', '大局', '也', '是', '新竹', '到底', '哪裡', '做', '的', '好', '居然', '滿', '中央', '出', '的', '錢', '，', '地方', '不能', '審', '，', '感覺', '是', '林', '陣營', '內', '有', '內鬥', '導致', '北藍教', 'TMD', '本來', '就是', '藍軍', '國民黨', '在', '新竹', '還要', '靠', '外人', '真', '這', '大家', '都', '知道', '的', '事', '不用', '說出', '下架', '塔綠班', '為', '重']"
3709,呵呵又不給問wwwwwwww死忠仔不夠多,"['呵呵', '又', '不', '給', '問', 'wwwwwwww', '死忠仔', '不', '夠', '多']"
3710,look,['look']
3711,33現在要改寄生K33當副市長有能力又能促老國民黨回歸，蔡正元之流想也知道不可能有33連勝文啦！哈哈哈哈,"['33', '現在', '要', '改', '寄生', 'K33', '當', '副市長', '有', '能力', '又', '能', '促', '老', '國民黨', '回歸', '，', '蔡正元', '之', '流想', '也', '知道', '不可能', '有', '33', '連勝文', '啦', '！', '哈哈', '哈哈']"
3712,沒那放完屁就下線了，看來就是,"['沒', '那', '放完', '屁', '就', '下線', '了', '，', '看來', '就', '是']"
3713,自住超痛,"['自住', '超痛']"
3714,壞事喜辦,"['壞事', '喜', '辦']"
3715,講實話卻被某特殊交友圈想逼宮?你有能力把騙神仔來了來了EE要推她的人,"['講', '實話', '卻', '被', '某', '特殊', '交友圈', '想', '逼', '宮', '?', '你', '有', '能力', '把', '騙神仔', '來', '了', '來', '了', 'EE', '要', '推', '她', '的', '人']"
3716,哪像你還能廢聰明有能力的都移民了好不香港人2019年跳樓40每天都用國安法關人阿一個都沒有有錢人超爽,"['哪', '像', '你', '還', '能', '廢', '聰明', '有', '能力', '的', '都', '移民', '了', '好不', '香港人', '2019年', '跳樓', '40', '每', '天', '都', '用', '國安法', '關人', '阿一', '個', '都', '沒有', '有錢人', '超', '爽']"
3717,真的大可不必X好粗暴,"['真的', '大可不必', 'X', '好', '粗暴']"
3718,習是不是想搞爛經我支持,"['習', '是', '不是', '想', '搞爛', '經', '我', '支持']"
3719,光連署只有死忠仔才在看側翼,"['光', '連署', '只有', '死忠仔', '才', '在', '看', '側翼']"
3720,太嚴格日本的退貨率很高的台灣是中國的一部分以前不寫中國台灣給過，從承認沒人要買很難嗎？面對幾乎都賣大陸啊品管差達不到歐美日規格當看起來以前是中國大發慈悲垃圾官員只想抽中間費用,"['太', '嚴格', '日本', '的', '退貨率', '很', '高', '的', '台灣', '是', '中國', '的', '一', '部分', '以前', '不', '寫', '中國', '台灣', '給', '過', '，', '從', '承認', '沒', '人', '要', '買', '很', '難', '嗎', '？', '面對', '幾乎', '都', '賣', '大陸', '啊', '品管', '差', '達', '不', '到', '歐', '美', '日', '規格', '當', '看起來', '以前', '是', '中國', '大發', '慈悲', '垃圾', '官員', '只', '想', '抽', '中間', '費用']"
3721,台派不幹你娘的噁心叛國賊四叉給錢就會立刻跪舔的類型綠的素質就這樣？好意思喊這好一段時間了吧,"['台', '派', '不', '幹你娘', '的', '噁心', '叛國', '賊', '四叉', '給', '錢', '就', '會', '立刻', '跪舔', '的', '類型', '綠', '的', '素質', '就', '這樣', '？', '好意思', '喊', '這', '好', '一', '段', '時間', '了', '吧']"
3722,台積電賣沒有國民黨現在治權是共產民進党那些爭民主的還都已共產黨的招數對國民黨最有現在國民黨哪個不是拿槍的林九萬,"['台積電', '賣', '沒有', '國民黨', '現在', '治權', '是', '共產民', '進党', '那些', '爭', '民主', '的', '還', '都', '已', '共產黨', '的', '招數', '對', '國民黨', '最', '有', '現在', '國民黨', '哪', '個', '不是', '拿', '槍', '的', '林九萬']"
3723,謝謝網軍也是工作完了,"['謝謝', '網軍', '也', '是', '工作', '完', '了']"
3724,可見塔哈哈哈哈哈哈哈哈哈,"['可見', '塔哈', '哈哈', '哈哈', '哈哈', '哈哈']"
3725,不給過。不看內文肯定被標題帶風向自己沒加到分,"['不', '給', '過', '。', '不', '看', '內文', '肯定', '被', '標題', '帶', '風', '向', '自己', '沒', '加到', '分']"
3726,死忠真情母豬幹你娘機掰操廢拉機母豬要催生三小??逆風也是你們自己造成的！今日最後一噓，噓膩了催妳媽啦幹樂馬大飯店去死吧，呸不會投民進黨的啦…再被騙別再騙了這輩子最後悔事情之一就是被妳騙1次2次,"['死忠', '真情', '母豬', '幹', '你', '娘機', '掰操', '廢拉機', '母豬', '要', '催生', '三小', '?', '?', '逆風', '也', '是', '你們', '自己', '造成', '的', '！', '今日', '最後', '一', '噓', '，', '噓膩', '了', '催', '妳', '媽', '啦', '幹樂馬', '大', '飯店', '去死', '吧', '，', '呸', '不會', '投', '民進黨', '的', '啦', '…', '再', '被', '騙別', '再', '騙', '了', '這', '輩子', '最', '後悔', '事情', '之', '一', '就', '是', '被', '妳', '騙', '1', '次', '2', '次']"
3727,就統媒啊，見不喔，原來台日斷交了，幫QAVBS報導,"['就', '統媒', '啊', '，', '見', '不', '喔', '，', '原來', '台', '日', '斷交', '了', '，', '幫', 'QAVBS', '報導']"
3728,下架33沒有柯P強,"['下架', '33', '沒有', '柯', 'P', '強']"
3729,嘴好臭強他７２囉～那真的厲害這體能至少屌打閃尿了馬可以出來再選嗎QQ體力超強還是很利害了沒有比較沒有傷害未看先猜萬年老耿圖懷念不會被吉的日子太狂了,"['嘴', '好', '臭', '強', '他', '７２', '囉', '～', '那', '真的', '厲害', '這', '體能', '至少', '屌', '打', '閃尿', '了', '馬', '可以', '出來', '再', '選', '嗎', 'QQ', '體力', '超強', '還是', '很', '利害', '了', '沒有', '比較', '沒有', '傷害', '未', '看', '先', '猜', '萬', '年', '老耿圖', '懷念', '不會', '被', '吉', '的', '日子', '太', '狂', '了']"
3730,要當側說真的我很羨慕阿中耶他要吃2000萬都沒有什我吃老乾杯一人4000要民進黨開放給大家吃的塔綠班：党開放的美牛美豬高端疫苗幾十億的東西,"['要', '當側', '說真的', '我', '很', '羨慕', '阿中', '耶', '他', '要', '吃', '2000萬', '都', '沒有', '什', '我', '吃', '老乾杯', '一', '人', '4000', '要', '民進黨', '開放給', '大家', '吃', '的', '塔綠班', '：', '党', '開放', '的', '美牛', '美', '豬', '高端', '疫苗', '幾十億', '的', '東西']"
3731,只好畫圖自慰坑中飽台,"['只好', '畫圖', '自慰坑', '中', '飽', '台']"
3732,不是主導,"['不是', '主導']"
3733,又吹了柯一波幹,"['又', '吹', '了', '柯', '一', '波', '幹']"
3734,不是分析看汪浩啊台灣從不是問題，有問題的看文昭先生做民運本來就信仰,"['不是', '分析', '看', '汪浩', '啊', '台灣', '從不', '是', '問題', '，', '有', '問題', '的', '看', '文昭', '先生', '做', '民運', '本來', '就', '信仰']"
3735,堅哥真的不能離開,"['堅哥', '真的', '不能', '離開']"
3736,濃濃的費洛蒙隔著敗票時間到那個爛時鐘我已經不要了有點慘,"['濃濃', '的', '費洛蒙', '隔', '著', '敗票', '時間', '到', '那', '個', '爛', '時鐘', '我', '已經', '不要', '了', '有點', '慘']"
3737,他們眼裡只要反對都要掛路同路人感謝您你在幹嘛！名單上原本沒有國家感謝你，路燈給你自選不當塔綠班,"['他們', '眼', '裡', '只要', '反對', '都', '要', '掛路', '同路人', '感謝', '您', '你', '在', '幹嘛', '！', '名單', '上', '原本', '沒有', '國家', '感謝', '你', '，', '路燈', '給', '你', '自選', '不當', '塔綠班']"
